Category_Index,Updated,Size,Installs,Requires_Android,Age,Inapp_Lower_Bound,Inapp_Upper_Bound,Rating,Rating_Total,Rating_5,Rating_4,Rating_3,Rating_2,Rating_1,Price,Free
0,412,43,500000,2.3,4,0,0,3.8,7247,3673,1144,911,495,1024,0,1
0,448,25,1000000,2.3,1,0,0,3.8,27229,14538,3633,2512,1787,4759,0,1
0,870,33,100000,2.3,6,0,0,3.9,338,186,39,42,19,52,0,1
0,97,36,100000,2.3,4,0,0,4.1,2170,1355,231,249,117,218,0,1
0,427,43,100000,2.3,6,0,0,3.4,837,388,77,75,61,236,0,1
0,600,26,100000,2.3,3,0,0,3.9,1663,926,203,235,105,194,0,1
0,238,15,5000000,2.3,1,0,0,3.8,67542,35783,9049,6561,4297,11852,0,1
0,419,32,10000,4.0,1,0,0,3.9,293,189,19,10,9,66,0,1
0,442,38,10000,2.3,4,0,0,3.7,200,92,23,38,20,27,0,1
0,250,35,10000,2.3,4,0,0,3.8,325,164,48,39,24,50,0,1
0,240,20,5000000,2.3,1,0,0,3.6,68945,37527,5523,5131,3434,17330,0,1
0,526,37,1000000,2.3,1,0,0,4.2,6387,4387,641,511,225,623,0,1
0,316,35,10000,4.0,1,1.29,45.99,4.3,501,281,120,66,16,18,0,1
0,1038,4.7,50,2.3,1,0,0,3.5,2,0,1,1,0,0,0,1
0,62,49,1000000,2.3,4,0,0,4.0,11747,6489,1613,1859,662,1124,0,1
0,665,26,10000,2.2,4,0,0,,65,,,,,,0,1
0,1453,30,500000,2.3,1,0,0,4.3,17111,11617,2288,1200,536,1470,0,1
0,466,31,100000,2.3,4,0,0,3.9,1636,870,228,218,99,221,0,1
0,1147,36,100000,2.3,4,0,0,3.7,5737,2910,771,690,408,958,0,1
0,30,45,1000000,4.1,6,1.19,3.79,4.3,5373,3748,563,378,154,530,0,1
0,345,24,5000,4.3,6,0,0,4.0,98,64,5,12,3,14,0,1
0,1477,8.8,100000,4.0,4,0,0,4.1,5316,3357,657,408,247,647,0,1
0,1174,32,500000,2.3,3,0,0,3.6,4269,2160,387,406,301,1015,0,1
0,594,37,100000,2.3,4,0,0,3.9,1100,593,130,160,67,150,0,1
0,274,40,500000,4.0,4,0,0,3.9,1280,773,115,101,40,251,0,1
0,253,,10000000,,1,0,0,4.2,89409,60172,10802,6815,2294,9326,0,1
0,879,43,100000,2.3,3,0,0,4.1,2833,1859,301,226,129,318,0,1
0,2,29,100000,4.1,1,0,0,3.4,1684,748,190,195,127,424,0,1
0,26,,500000,4.1,3,0,0,3.9,2338,1455,185,154,66,478,0,1
0,614,30,5000,2.3,4,0,0,3.3,32,14,0,7,3,8,0,1
0,1166,41,1000,2.3,3,0,0,4.1,20,10,6,1,1,2,0,1
0,458,20,100000,2.3,4,0,0,4.0,753,429,100,112,30,82,0,1
0,347,33,500000,2.3,6,1.39,2.09,4.0,2562,1506,332,298,145,281,0,1
0,994,5.6,10000,2.3,4,0,0,4.1,87,56,9,9,3,10,0,1
0,76,48,1000000,2.3,4,0,0,4.1,4500,2786,465,536,239,474,0,1
0,29,30,10000,4.1,4,0,0,4.2,423,234,85,78,11,15,0,1
0,338,37,500000,2.3,4,0,0,4.0,3780,2223,437,447,180,493,0,1
0,495,,10000000,,1,0,0,3.9,47540,26282,6044,5302,3083,6829,0,1
0,594,46,100,2.3,4,0,0,2.0,4,1,0,0,0,3,0,1
0,161,,50000000,2.3,1,0,0,4.3,950364,644200,117059,74588,31623,82894,0,1
0,615,18,100000,2.3,6,0,0,3.9,575,326,51,78,38,82,0,1
0,41,,100000,,1,0,0,3.6,1389,685,144,129,160,271,0,1
0,624,13,10000,2.2,4,0,0,4.0,156,99,14,10,7,26,0,1
0,1059,16,10000,2.1,1,0,0,3.7,247,140,18,19,16,54,0,1
0,1020,6.0,100,2.3,3,0,0,4.5,2,1,1,0,0,0,0,1
0,790,24,100000,2.3,6,0,0,4.0,674,419,50,77,32,96,0,1
